,2010/1/1,2010/6/30,2010/12/27,2011/6/25,2011/12/22,2012/6/19,2012/12/16,2013/6/14,2013/12/11,2014/6/9,2014/12/6,2015/6/4,2015/12/1,2016/5/29,2016/11/25,2017/5/24,2017/11/20,2018/5/19,2018/11/15,2019/5/14,2019/11/10,2020/5/8,2020/11/4,2021/5/3,2021/10/30,
長命寺桜もち,236,209,326,389,368,494,593,534,617,675,852,888,895,1040,1150,1400,1440,1760,2040,2400,2980,2990,3320,3380,4040,
東京ばな奈,87000,116000,960000,2250000,2760000,3160000,3320000,3440000,3430000,3750000,4140000,4250000,4790000,5080000,5580000,5840000,7570000,7320000,7600000,8780000,9930000,11100000,13600000,16000000,16700000,
都電もなか,161,196,239,274,278,361,375,415,448,688,656,588,638,726,1010,1050,992,1410,1360,2160,1800,2600,2540,2360,2790,
浪花家総本店,1060,1210,1320,1490,1620,1990,2130,2460,2850,3310,3600,4180,4610,5120,5820,6440,7120,8520,9100,9970,13300,13600,15000,17200,18100,
ナボナ,890,1290,1490,1610,2630,2120,2530,3100,3060,2760,3290,4890,5160,6430,8250,9170,10400,11000,12600,12800,13800,16100,17100,18200,19700,
人形焼,23300,30700,32000,36400,39200,48600,53600,60200,70000,77500,90300,106000,119000,130000,151000,200000,205000,961000,2710000,2610000,3150000,3900000,4040000,4500000,4900000,
花園万頭,10300,10300,11900,14300,14400,18500,20900,26200,25500,28600,35000,39200,41200,49400,49100,54300,72200,85700,87300,105000,318000,404000,1320000,2020000,2090000,
羽二重団子,2510,2900,3530,3980,4380,5090,5760,6700,7760,8590,9550,10900,12300,14200,16500,19200,22400,27200,30600,35800,42400,49200,55500,63800,71400,
ピーセン,231,123,143,180,247,375,243,397,414,382,698,597,722,847,950,1350,1420,1760,1800,1960,2360,3260,3220,3860,4560,
ひよ子,3890,3490,4230,3900,5430,5370,6800,7190,7740,9910,9420,9250,12600,11500,16600,16300,19300,28100,30100,31800,29700,35700,44200,47800,57600,
富士山カヌレ,300,381,550,831,549,865,705,983,907,1210,1110,1870,2830,3530,4500,5310,6130,7210,8700,8510,9390,10500,10700,12300,13800,
ホールインワン%28菓子%29,274,329,426,472,531,616,760,819,920,1010,1270,1480,2180,2240,2830,3330,5040,4880,5390,5930,6610,7250,8670,9040,10500,
桔梗信玄餅,895,758,887,1370,1460,1740,1900,2340,2400,3030,2970,3640,4390,4880,7430,9930,13000,15100,17600,21600,25500,27100,27300,29500,36600,
くろ玉,18300,20800,27000,28900,32000,36400,40800,47100,56000,59900,65500,82600,85900,105000,119000,128000,145000,174000,1520000,2330000,3070000,3100000,3670000,4410000,5110000,
信玄餅,3540,4890,4980,5700,8220,8910,8690,11100,11200,13300,14500,15600,20100,24200,29400,33900,41300,52000,68200,72200,80900,92500,96200,104000,680000,
月の雫+%28和菓子%29,3130,3080,3510,4480,5100,5180,6300,6220,6700,7200,9050,14600,17200,18900,22000,24100,29200,30400,34300,37500,37000,40900,40600,43800,49200,
ういろう+%28菓子%29,3770,3690,4650,4980,6120,6350,7350,7220,7940,8990,10600,13200,13600,15100,17900,21900,27100,31500,38100,42200,44100,48800,52600,60500,70900,
宇佐飴,327,367,620,408,487,659,717,873,868,1230,1300,2290,2620,3790,4490,5310,6470,7680,7360,8570,10200,9570,11200,13400,14600,
臼杵煎餅,65,84,129,126,126,218,165,301,235,359,449,501,774,638,1150,1010,2410,2870,3650,4290,5250,5730,6220,7800,8660,
軽羹,533,554,728,838,889,1020,1200,1080,1420,1510,1530,1980,2680,3200,2980,3530,3660,4850,4980,4900,5200,5910,6140,6600,7820,
かれい最中,1490,1600,1890,2110,2320,2620,2890,3190,3550,3860,4260,4740,5160,5800,6440,7170,8190,9360,10300,11400,13000,14600,16200,18600,20800,
荒城の月+%28銘菓%29,37,23,25,33,57,57,80,53,68,99,148,351,516,852,1140,1430,1680,1990,2180,2570,2580,2460,2530,2590,2640,
