,2010/1/1,2010/6/30,2010/12/27,2011/6/25,2011/12/22,2012/6/19,2012/12/16,2013/6/14,2013/12/11,2014/6/9,2014/12/6,2015/6/4,2015/12/1,2016/5/29,2016/11/25,2017/5/24,2017/11/20,2018/5/19,2018/11/15,2019/5/14,2019/11/10,2020/5/8,2020/11/4,2021/5/3,2021/10/30,
きぬた+%28和菓子%29,923,1060,1170,1330,1540,1760,2200,2080,2230,2550,2660,3410,3610,4270,4630,5300,8370,15200,18200,17200,18700,21300,24000,26600,30000,
塩味饅頭,1370,1450,1650,1870,2360,2610,2810,2790,3290,3620,4020,5020,6720,8540,10300,11500,12900,15500,17400,22000,22300,27100,26700,30200,36100,
炭酸せんべい,5640,5970,6490,8130,8660,9310,11000,12100,12800,14000,15000,16900,18000,20300,24000,26200,33000,42400,46900,51000,56700,70400,81500,90600,106000,
赤福餅,14400,16400,19700,22400,24300,27400,26600,31000,34900,39200,43500,49400,58600,63700,76600,87900,121000,970000,1510000,1910000,2210000,2640000,2870000,3170000,3540000,
絲印煎餅,101,103,145,118,139,126,217,265,297,301,328,355,396,410,475,584,487,740,844,787,932,1070,1360,1370,2770,
ういろう+%28菓子%29,3770,3460,4770,5220,5530,6600,7300,8730,9440,9560,10700,14000,14400,18200,18900,24000,29500,33900,38600,38800,48300,52000,67400,66100,74500,
御福餅,9260,11800,13300,14500,15700,17900,19200,20900,23200,25900,28500,33500,37500,41600,49300,57000,68900,81300,93700,191000,1260000,1680000,1820000,2070000,2420000,
かた焼き,5440000,5730000,7020000,8370000,9130000,10200000,10900000,12200000,12700000,13700000,14800000,16300000,17800000,19500000,23100000,24100000,28300000,31900000,34600000,40300000,52200000,57900000,65300000,80200000,84900000,
かぶらせんべい,405,557,530,778,642,885,994,1160,1210,1120,1360,1410,1770,1930,2080,2250,2620,3040,3290,3790,3850,4780,4610,5420,6190,
くうや観助餅,230,208,209,290,248,290,391,378,402,537,593,628,762,770,888,1210,1240,1320,1540,1970,2390,2290,2760,4660,5250,
紅梅焼,2700,2620,2940,3590,3910,4200,4500,4750,4380,4900,5370,6100,7030,7190,8130,10600,10900,13600,14500,18900,18800,20500,22500,24900,30000,
さわ餅,1760,2000,2400,2750,3050,3570,4030,4610,5430,6860,7400,8080,8820,9710,12700,14000,17000,21600,27500,38300,48800,56100,62800,79500,92600,
シェル・レーヌ,124,267,203,228,245,347,535,427,527,638,726,814,1160,1270,1810,2580,2470,2850,3240,3750,4790,4800,5900,6550,8440,
生姜糖,15900,17800,22000,24900,29500,35200,39200,47800,53800,68500,80200,89200,105000,130000,1010000,2810000,3420000,3770000,4500000,5060000,5770000,6500000,7000000,7370000,8270000,
太閤出世餅,214,172,117,191,143,198,187,227,220,337,368,314,462,519,605,725,697,902,1170,876,957,1150,1340,1370,1690,
立石餅,832,1030,1050,1370,1600,1650,1920,2080,2230,2380,2590,3500,4040,4740,6520,7070,7990,9130,9920,11200,12400,13400,14800,18800,23600,
朔日餅,826,860,1250,1360,1420,1750,2280,2230,2420,3090,3190,3480,4510,4940,5090,5810,6400,7250,8040,9400,11600,11600,13000,14800,16400,
とらや饅頭,1070,1410,1400,1380,1820,2110,1760,2170,2170,2550,3210,3810,5510,6530,7500,8210,9690,13400,13200,14100,14900,16900,17800,21500,26300,
ながさき,14500,14600,16300,16300,19100,21000,23900,25000,33000,32700,37900,43600,43400,46900,64500,65800,92400,110000,116000,132000,143000,158000,207000,213000,247000,
なが餅,1760000,2170000,2330000,2520000,2950000,3270000,3190000,3340000,3890000,4690000,4610000,4980000,5840000,5990000,7590000,7480000,9080000,10000000,10800000,12600000,15500000,16700000,20700000,23200000,27700000,
那智黒,6630,6090,7770,9240,11300,13900,17600,20300,21300,24400,24200,28100,40900,46200,66900,66900,76800,88300,89900,102000,136000,151000,141000,185000,186000,
二軒茶屋餅,2050,2300,2530,3300,3180,3710,4060,4410,5380,5370,6510,6980,8260,9990,10900,13000,14500,18000,23200,25800,26900,30200,33300,38700,42700,
蛤志るこ,2500,2580,3090,3700,3810,5550,5090,6270,7330,6670,8470,8360,10800,11000,11800,13500,14500,15900,17100,21300,21100,23600,25100,26500,28200,
ぱんじゅう,224,214,346,278,336,374,535,463,519,715,967,1160,1440,1740,1810,2520,2260,2720,2880,3300,3140,3360,4520,4240,4170,
深川屋,16200,19700,22100,25100,26400,30800,36600,38900,45300,50200,54100,63900,71500,84600,95200,110000,161000,199000,1020000,2280000,2650000,3240000,3400000,3500000,3920000,
へんば餅,8430,10200,13000,15000,18400,18900,19100,24700,28100,31100,27000,36800,32700,41000,37500,42900,50000,56500,67600,76400,85500,110000,199000,1220000,1750000,
都饅頭+%28三重県%29,5090,5430,6280,8110,8710,11300,13000,14300,15800,17500,22200,27200,28600,29300,40400,43800,60300,71600,81400,79500,84900,102000,96500,111000,118000,
